Breed,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,Cluster
Bernese Mountain Dog,22,58.42,69.85,31.7514659,52.16312255,7,10,0.6,1,0.8,0.8,0.4,0
Entlebucher Mountain Dog,157,40.64,53.34,18.1436948,29.48350405,11,13,0.2,0.2,1,0.4,0.4,0
Greater Swiss Mountain Dog,74,59.69,72.39,38.55535145,63.5029318,8,11,0.4,0.6,0.8,0.6,0.6,0
Norwegian Elkhound,97,49.53,52.07,21.77243376,24.94758035,12,15,0.4,0.6,0.6,0.6,0.8,0
Bull Terrier,62,53.34,55.88,22.6796185,31.7514659,12,13,0.4,0.6,0.8,0.4,0.8,1
Miniature Bull Terrier,110,25.4,35.56,8.16466266,12.70058636,11,13,0.2,0.4,0.8,0.4,0.6,1
Russell Terrier,82,25.4,30.48,4.08233133,6.80388555,12,14,0.4,0.4,1,0.6,0.8,1
West Highland White Terrier,42,25.4,27.94,6.80388555,9.0718474,13,15,0.8,0.6,0.6,0.6,0.8,1
Hovawart,,58.42,71.12,29.48350405,40.8233133,10,14,0.2,0.6,0.6,0.2,0.4,2
Small Munsterlander Pointer,,52.07,53.34,18.1436948,27.2155422,12,14,0.2,0.6,1,0.6,0.8,2
Black Russian Terrier,118,66.04,76.2,36.2873896,58.9670081,10,12,0.8,0.6,0.8,0.8,0.4,3
Briard,132,55.88,68.58,24.94758035,45.359237,12,12,0.8,0.2,0.6,0.4,0.4,3
Giant Schnauzer,78,59.69,69.85,24.94758035,38.55535145,12,15,0.8,,1,0.8,0.6,3
Kuvasz,163,66.04,76.2,31.7514659,52.16312255,10,12,0.4,0.8,0.6,0.4,0.4,3
Newfoundland,40,66.04,71.12,45.359237,68.0388555,9,10,0.4,0.6,0.6,0.8,0.8,3
Saint Bernard,48,66.04,76.2,54.4310844,81.6466266,8,10,0.4,0.6,0.6,0.6,0.8,3
Standard Schnauzer,89,44.45,49.53,13.6077711,22.6796185,13,16,0.6,0.2,0.6,0.4,0.8,3
